d2021,d2020,d2019,d2018,d2017,industry,coding,title,market_value,returns_ratio,min_callshares
4022,20634,25543,24285,22909,サービス業,4732,(株)ユー・エス・エス,"560,404",3.26,"178,900"
30486,28451,24616,23581,21861,情報・通信,4739,伊藤忠テクノソリューションズ(株),"867,600",1.94,"361,500"
41553,6608,1694,4849,4024,サービス業,4751,(株)サイバーエージェント,"1,003,827",0.55,"198,500"
－114199,－31888,142282,110585,38429,サービス業,4755,楽天グループ(株),"1,965,925",---,"124,400"
39927,39309,43497,33601,31560,情報・通信,4768,(株)大塚商会,"1,090,612",2.09,"574,000"
8944,7362,6226,5187,4438,情報・通信,4812,ＩＳＩＤ,"258,774",1.31,"397,000"
9786,7420,9771,6412,4289,情報・通信,4819,(株)デジタルガレージ,"235,930",---,"497,000"
5012,4113,4644,3310,2994,サービス業,4848,(株)フルキャストホールディングス,"96,752",1.67,"258,100"
3502,7125,8144,6366,4005,サービス業,4849,エン・ジャパン(株),"232,174",1.55,"467,000"
9422,-,-,-,-,医薬品,4887,サワイグループホールディングス(株),"220,270",2.58,"503,000"
181205,124987,138106,140694,131506,化学,4901,富士フイルムホールディングス(株),"4,555,982",1.13,"885,300"
－15211,－3073,41705,32248,31542,電気機器,4902,コニカミノルタ(株),"296,069",5.09,"58,900"
42439,－11660,73562,61403,22749,化学,4911,(株)資生堂,"2,945,200",0.68,"736,300"
29870,20559,25606,20883,15951,化学,4912,ライオン(株),"569,815",1.26,"190,500"
8016,9985,8649,6191,5146,化学,4921,(株)ファンケル,"451,674",0.98,"346,500"
11986,26682,37004,30611,21657,化学,4922,(株)コーセー,"854,961",0.99,"1,411,000"
4632,19694,8388,27137,16328,化学,4927,(株)ポーラ・オルビスホールディングス,"570,549",2.05,"249,000"
19715,19205,19139,18023,15863,化学,4967,小林製薬(株),"707,271",0.94,"862,000"
34920,－22935,81450,162307,88164,石油・石炭製品,5019,出光興産(株),"965,082",3.70,"324,000"
113998,－187946,322319,361922,150008,石油・石炭製品,5020,ＥＮＥＯＳホールディングス(株),"1,502,727",4.73,"46,520"
85910,－28155,53132,72813,53235,石油・石炭製品,5021,コスモエネルギーホールディングス(株),"208,027",3.26,"245,400"
26312,41971,35623,39975,9362,ゴム製品,5101,横浜ゴム(株),"333,842",3.30,"196,900"
11682,24482,10553,15476,－12260,ゴム製品,5105,ＴＯＹＯ　ＴＩＲＥ(株),"286,338",2.42,"185,800"
－23301,240111,291642,288275,265550,ゴム製品,5108,(株)ブリヂストン,"3,640,575",3.33,"510,100"
